LISTA_SETOR,SUBSETOR,ITEM_CHECKLIST,DESC_EVEREST,EST_MIN,U.M.
COZINHA,CONGELADA,MP MASSA HARUMAKI PACOTE (UNID),MP MASSA HARUMAKI PACOTE,7,UNID
COZINHA,CONGELADA,MP PAO TORRADA (UNID),MP PAO TORRADA,30,UNID
COZINHA,CONGELADA,MP SORVETE DE BAUNILHA (LITRO),MP SORVETE DE BAUNILHA,20,LITRO
COZINHA,CONGELADA,PO CARNE PICADA 100G (UNID),PO CARNE PICADA 100G,99,UNID
COZINHA,CONGELADA,PROD ATUM POKE (KG),PROD ATUM POKE,0,KG
COZINHA,CONGELADA,PROD BRIGADEIRO CHOCOLATE (KG),PROD BRIGADEIRO CHOCOLATE,8,KG
COZINHA,CONGELADA,PROD BRIGADEIRO LEITE NINHO (KG),PROD BRIGADEIRO LEITE NINHO,5,KG
COZINHA,CONGELADA,PROD BRIGADEIRO PACOCA (KG),PROD BRIGADEIRO PACOCA,5,KG
COZINHA,CONGELADA,PROD BRISKET (KG),PROD BRISKET,6.800000000000001,KG
COZINHA,CONGELADA,PROD BROCOLIS PICADO (KG),PROD BROCOLIS PICADO,7,KG
COZINHA,CONGELADA,PROD BROWNIE (UNID),PROD BROWNIE,21,UNID
COZINHA,CONGELADA,PROD CALDA DE BRIGADEIRO (KG),PROD CALDA DE BRIGADEIRO,5,KG
COZINHA,CONGELADA,PROD CALDO DE LEGUMES (KG),PROD CALDO DE LEGUMES,5,KG
COZINHA,CONGELADA,PROD CAMARAO EBI FURAY (KG),PROD CAMARAO EBI FURAY,13,KG
COZINHA,CONGELADA,PROD CAMARAO EBI KING (UNID),PROD CAMARAO EBI KING,360,UNID
COZINHA,CONGELADA,PROD CARPACCIO (UNID),PROD CARPACCIO,10,UNID
COZINHA,CONGELADA,PROD CHURROS (UNID),PROD CHURROS,200,UNID
COZINHA,CONGELADA,PROD COXINHA DE CUPIM (UNID),PROD COXINHA DE CUPIM,140,UNID
COZINHA,CONGELADA,PROD CREME DE QUEIJO (KG),PROD CREME DE QUEIJO,13,KG
COZINHA,CONGELADA,PROD CROQUETE SUINO (UNID),PROD CROQUETE SUINO,104,UNID
COZINHA,CONGELADA,PROD FAROFA BROWNIE (KG),PROD FAROFA BROWNIE,3,KG
COZINHA,CONGELADA,PROD FRANGO DEFUMADO (UNID),PROD FRANGO DEFUMADO,12,UNID
COZINHA,CONGELADA,PROD FRANGO PICADO 100G (UNID),PROD FRANGO PICADO 100G,67,UNID
COZINHA,CONGELADA,PROD FRANGO SALAD 200G (UNID),PROD FRANGO SALAD 200G,6,UNID
COZINHA,CONGELADA,PROD GELEIA DE ABACAXI (KG),PROD GELEIA DE ABACAXI,3.5,KG
COZINHA,CONGELADA,PROD HARUMAKI CAMARAO (UNID),PROD HARUMAKI CAMARAO,240,UNID
COZINHA,CONGELADA,PROD HARUMAKI DOCE DE LEITE (UNID),PROD HARUMAKI DOCE DE LEITE,285,UNID
COZINHA,CONGELADA,PROD HARUMAKI QUEIJO BRIE (UNID),PROD HARUMAKI QUEIJO BRIE,285,UNID
